cidade,área,quartos,banheiros,vagas garagem,andar,animal,mobiliado,condomínio,valor aluguel,valor IPTU,valor seguro,total
Natal,36,3,2,2,5,1,0,1796,1865,1224,139,5024
Uberlândia,399,4,2,4,15,1,0,639,2663,515,75,3892
Aracaju,408,2,3,3,10,0,0,4585,4263,725,37,9610
Fortaleza,433,3,4,4,9,0,1,3218,5526,662,124,9530
Maringá,344,3,1,2,4,0,1,2277,1867,579,50,4773
Porto Velho,30,1,3,1,8,1,0,1044,3210,454,160,4868
Caxias do Sul,356,3,2,4,12,1,1,2962,9047,1551,188,13748
Londrina,60,4,3,4,16,0,0,1769,503,183,17,2472
Jaboatão dos Guararapes,144,1,3,3,3,0,1,3293,7985,695,79,12052
Joinville,223,2,1,0,16,1,0,1577,6098,1339,29,9043
Vila Velha,353,2,2,4,2,0,0,2005,1150,480,144,3779
Vila Velha,406,4,1,1,8,0,1,3928,5339,1874,164,11305
Florianópolis,410,4,1,3,18,0,0,1402,7483,1984,76,10945
São Gonçalo,132,1,4,1,10,1,0,4821,3406,1548,56,9831
Ananindeua,349,5,1,1,16,0,0,4877,6684,1300,84,12945
Maringá,312,4,4,1,18,0,0,1997,8845,302,79,11223
Londrina,438,1,3,3,4,1,1,8,8578,1972,78,10636
Cuiabá,310,2,3,0,8,0,0,1810,9624,1568,35,13037
Santo André,243,3,2,4,10,1,1,3849,7699,1563,137,13248
Santo André,291,3,4,4,2,1,1,489,2274,264,149,3176
Aparecida de Goiânia,208,4,3,3,18,0,0,1078,708,644,146,2576
Cuiabá,496,2,3,3,19,0,0,2230,2828,1548,107,6713
Recife,324,3,3,1,14,1,0,1039,2950,239,109,4337
Santo André,404,3,1,4,13,0,1,1185,3981,124,156,5446
Campinas,224,3,1,1,18,1,1,4559,5588,824,108,11079
Feira de Santana,235,3,3,0,17,1,0,1574,6578,481,100,8733
Cuiabá,448,5,3,4,8,0,0,4429,3328,1179,159,9095
São Luís,348,4,3,1,11,1,1,4641,2628,733,60,8062
Boa Vista,370,4,3,1,12,0,0,1144,9133,508,124,10909
Uberlândia,335,2,3,4,5,1,1,1132,4808,599,99,6638
Mogi das Cruzes,399,4,3,3,1,0,0,4475,3041,1976,124,9616
Maringá,246,4,4,2,7,1,0,4955,7415,494,143,13007
Aparecida de Goiânia,404,1,3,1,16,0,1,4608,6695,1774,138,13215
Fortaleza,452,4,1,4,18,0,1,3986,558,23,114,4681
Uberlândia,490,1,2,2,2,0,0,3466,9820,443,46,13775
Salvador,317,2,2,2,15,0,0,3833,9474,1368,90,14765
Duque de Caxias,150,5,4,3,1,1,1,4875,9940,720,124,15659
São José dos Campos,37,1,2,4,17,1,1,1848,7354,26,133,9361
Montes Claros,318,2,2,0,14,1,0,783,1272,553,171,2779
São José dos Campos,181,2,4,1,8,0,0,3682,9200,1987,137,15006
Belém,151,2,1,2,9,1,1,553,1930,67,98,2648
Barueri,337,4,1,4,9,1,1,3782,4978,134,93,8987
Rio de Janeiro,198,4,1,1,11,1,0,2733,8435,107,64,11339
Ananindeua,214,3,3,0,3,0,0,3703,2531,1396,105,7735
Belém,455,3,2,2,13,0,0,167,9119,1066,137,10489
Porto Alegre,316,4,1,3,12,1,1,298,6819,1723,151,8991
São Luís,410,4,4,3,5,1,0,141,2009,1385,17,3552
Vila Velha,98,2,2,3,5,0,0,413,2691,1015,180,4299
Joinville,329,4,1,3,5,0,1,2157,9453,1275,57,12942
Curitiba,207,3,2,3,1,1,1,623,4365,652,76,5716
São Luís,171,2,4,3,14,0,0,4393,2255,1563,142,8353
Boa Vista,230,4,4,4,16,0,1,4363,9660,869,46,14938
Caxias do Sul,327,3,2,1,18,1,0,812,8941,98,24,9875
Porto Velho,314,5,1,1,11,1,0,1674,3259,1355,113,6401
Santo André,235,4,3,2,16,1,1,2123,7984,860,184,11151
Campinas,196,2,2,2,13,1,1,1704,4473,47,64,6288
Vila Velha,415,1,2,2,2,1,1,1902,9321,1742,167,13132
Contagem,239,5,2,2,8,0,0,3013,781,1354,45,5193
Belém,358,4,4,1,13,0,1,2237,5760,358,62,8417
Santo André,181,1,2,4,2,0,1,1769,2138,1903,158,5968
Guarulhos,220,4,4,0,16,0,0,2071,2861,780,54,5766
São José dos Campos,175,4,4,2,1,0,0,2570,9814,1042,115,13541
Aparecida de Goiânia,183,3,1,4,15,0,1,4395,3508,983,87,8973
São Luís,473,2,3,0,1,0,1,2911,5947,911,21,9790
Campo Grande,467,2,3,0,11,0,1,405,5886,412,120,6823
Piracicaba,151,2,4,1,5,1,0,3222,1294,1410,40,5966
Feira de Santana,65,3,4,4,2,1,1,1349,8819,1753,47,11968
Campo Grande,308,3,4,4,0,1,1,3315,2772,346,123,6556
Uberlândia,88,4,1,4,13,0,0,513,2739,344,41,3637
Ananindeua,203,1,2,3,7,0,1,13,1436,590,65,2104
Uberlândia,438,2,2,2,2,1,0,2947,7895,296,181,11319
Sorocaba,400,4,4,1,10,1,0,2890,2869,1269,49,7077
Teresina,173,1,1,1,18,1,1,1125,6042,151,137,7455
Duque de Caxias,24,1,3,4,16,0,1,932,3337,959,139,5367
Brasília,388,3,4,3,18,1,0,1303,5510,1228,128,8169
Florianópolis,134,2,3,0,4,0,1,778,2722,549,173,4222
Piracicaba,375,2,3,1,14,1,0,4424,7848,1047,179,13498
Florianópolis,94,4,1,4,4,1,0,1058,9963,356,47,11424
Serra,344,1,1,3,17,0,0,1261,3462,1430,122,6275
Maceió,238,5,3,4,6,0,0,3460,1902,1220,88,6670
Contagem,370,3,4,2,0,1,0,1121,3045,1154,23,5343
Campo Grande,40,2,4,3,4,1,1,4397,2426,167,46,7036
Osasco,299,5,3,1,13,0,0,1215,5669,1517,58,8459
São Luís,375,3,3,2,17,1,0,1670,2842,1051,167,5730
Brasília,116,2,1,1,19,0,0,2504,3711,1086,103,7404
Duque de Caxias,423,4,1,1,15,1,1,4029,2461,40,36,6566
Macapá,330,3,1,3,4,0,0,720,7924,169,164,8977
Ribeirão Preto,292,4,4,3,10,0,1,1952,5279,317,88,7636
Joinville,143,2,2,1,16,1,0,2017,7128,21,64,9230
Natal,298,5,4,1,13,1,1,2697,2588,1149,168,6602
Barueri,346,1,1,2,2,0,1,4558,3308,1368,157,9391
Betim,146,3,3,0,10,1,0,273,8575,1556,193,10597
Boa Vista,30,1,2,4,0,1,1,3431,8024,1708,118,13281
Belém,360,4,1,2,0,0,0,4065,570,955,149,5739
Serra,360,1,3,2,19,0,1,77,7953,1442,22,9494
São José dos Campos,432,5,1,1,11,0,0,1148,7674,1737,52,10611
Rio de Janeiro,75,4,2,2,19,0,0,2539,8847,1997,101,13484
Natal,404,5,2,3,12,0,0,4380,6208,805,185,11578
Maceió,282,2,2,4,12,1,1,1747,3808,232,96,5883
Sorocaba,143,3,3,4,3,1,1,2955,776,1158,36,4925
Brasília,453,3,4,0,8,0,0,4143,9372,1505,85,15105
Boa Vista,63,1,1,3,14,0,1,261,4839,1154,65,6319
Betim,253,1,1,2,12,0,1,2572,1052,55,49,3728
Barueri,170,1,1,4,4,0,0,2004,9322,176,76,11578
Mogi das Cruzes,399,4,1,3,13,1,0,3544,8217,1504,172,13437
Jaboatão dos Guararapes,147,5,1,2,16,0,0,1170,2431,110,14,3725
Rio de Janeiro,430,3,1,2,16,0,1,2104,4245,537,118,7004
Duque de Caxias,495,1,4,0,15,0,0,3156,7527,379,102,11164
Jundiaí,141,5,2,3,10,0,0,694,6586,1304,178,8762
Niterói,273,5,3,2,17,0,1,4277,8395,1947,21,14640
Aparecida de Goiânia,457,1,1,1,9,1,1,3510,2032,518,105,6165
Brasília,160,5,3,3,1,0,1,4453,2274,1402,70,8199
Mogi das Cruzes,109,4,1,0,10,1,1,4201,9355,371,100,14027
Goiânia,325,1,4,0,5,1,0,2140,5022,414,60,7636
São Luís,409,4,4,3,10,0,0,504,4176,246,29,4955
Porto Velho,393,5,3,1,11,0,1,4743,8073,1992,100,14908
São Paulo,394,3,3,1,12,0,0,584,2269,751,144,3748
Santo André,215,2,3,4,0,0,1,1469,626,720,63,2878
Niterói,410,1,4,4,0,1,1,4044,6983,974,91,12092
Montes Claros,438,4,1,1,18,0,1,2046,6739,807,179,9771
Natal,68,4,2,1,3,0,1,1821,5136,1018,40,8015
Sorocaba,158,3,2,3,10,1,0,2363,4631,557,67,7618
Vila Velha,334,3,1,0,2,0,0,4516,7323,1815,107,13761
Joinville,45,1,4,4,4,1,0,806,1475,55,80,2416
Guarulhos,320,1,1,3,2,0,0,3329,5974,99,19,9421
Feira de Santana,327,1,4,2,15,1,1,547,4024,1350,133,6054
Curitiba,401,2,4,0,6,0,0,1472,1620,368,158,3618
Maringá,308,5,4,4,7,1,1,3180,3733,1770,90,8773
Barueri,468,5,1,2,15,1,0,2059,6205,1525,188,9977
Duque de Caxias,465,4,4,2,6,0,1,1477,2031,963,127,4598
Brasília,305,1,2,1,3,1,1,890,4511,211,76,5688
Belém,458,5,1,0,10,1,1,3186,3098,80,59,6423
Piracicaba,323,4,4,1,14,0,0,4845,9894,1041,170,15950
Vila Velha,393,2,2,3,18,1,1,1822,6232,605,109,8768
Duque de Caxias,398,2,1,1,8,1,0,1630,7340,1522,107,10599
Jaboatão dos Guararapes,289,5,1,1,8,1,0,2653,4324,716,92,7785
Caxias do Sul,380,4,3,3,6,0,0,3571,8234,1312,192,13309
Maringá,361,3,4,4,13,0,1,1365,1019,1166,183,3733
Vila Velha,471,1,3,4,19,1,0,2691,5618,1669,83,10061
Porto Velho,172,4,4,4,11,0,1,1774,1943,104,135,3956
Jaboatão dos Guararapes,60,1,3,4,19,0,1,95,5368,1573,38,7074
Uberlândia,248,1,1,2,17,0,0,787,4036,862,96,5781
Osasco,354,1,1,0,0,1,1,3264,8253,123,167,11807
Caxias do Sul,140,2,1,0,14,0,0,870,1579,1290,13,3752
Vila Velha,334,2,1,2,4,1,1,3555,8520,1380,187,13642
Rio de Janeiro,160,5,2,0,15,0,1,3929,2135,622,13,6699
Mogi das Cruzes,318,1,2,3,7,0,1,721,1312,1202,155,3390
Macapá,318,3,2,3,11,0,1,2043,9238,828,23,12132
Curitiba,466,4,4,1,19,0,1,2770,6539,761,37,10107
Piracicaba,128,3,4,0,4,0,0,2978,5703,1224,25,9930
Santo André,130,3,4,4,19,1,0,2443,7066,1882,28,11419
Betim,313,5,1,3,18,0,0,4847,8975,1897,49,15768
Cuiabá,341,3,2,3,0,0,0,3895,6794,1017,32,11738
Santo André,479,1,3,4,15,1,1,3133,5057,203,185,8578
Salvador,390,5,1,3,9,0,1,963,6791,1315,134,9203
Vitória,78,3,3,2,2,1,1,1693,7721,1093,62,10569
Londrina,257,2,1,2,4,0,0,393,3235,1857,185,5670
Teresina,438,3,3,2,1,0,1,3215,2070,13,144,5442
Brasília,139,5,3,3,7,0,0,1247,8386,626,62,10321
São Gonçalo,420,1,1,2,6,1,1,567,9528,1004,175,11274
Duque de Caxias,417,3,2,2,3,1,1,3168,9596,1161,199,14124
Londrina,156,1,2,1,13,0,0,4054,6700,180,135,11069
Teresina,477,4,1,1,16,1,1,4040,1790,1389,12,7231
Cuiabá,481,3,1,3,5,0,1,1450,1489,1118,140,4197
Ribeirão Preto,394,3,3,1,16,0,0,1365,7672,1169,116,10322
Manaus,223,2,1,3,13,0,1,943,5096,1015,55,7109
Belém,119,1,2,3,9,1,1,3942,6570,690,138,11340
Aracaju,294,2,1,3,19,0,1,1244,889,1790,147,4070
Maceió,416,1,4,1,16,1,1,4588,3108,235,125,8056
Ananindeua,203,2,1,3,16,0,1,1377,3108,1621,164,6270
Porto Alegre,193,2,4,0,19,0,0,4869,6363,1413,121,12766
Porto Velho,160,3,3,1,10,1,0,4868,8694,1494,89,15145
Vitória,206,3,2,4,7,1,0,2277,5157,1134,170,8738
Boa Vista,208,4,4,1,6,1,0,4214,721,172,69,5176
Joinville,135,2,2,4,11,0,1,4980,6285,270,195,11730
Feira de Santana,165,5,2,3,7,1,1,3675,5458,751,62,9946
Guarulhos,310,2,4,4,3,1,1,2390,808,1147,70,4415
Recife,487,3,4,1,8,0,0,2594,8617,677,53,11941
Teresina,429,2,3,1,16,0,0,4136,614,1047,65,5862
Joinville,380,1,3,4,19,0,0,2517,7155,982,58,10712
Aracaju,305,1,2,2,0,0,0,2057,3105,1032,154,6348
Maceió,138,1,4,4,16,1,1,3268,3074,1608,68,8018
São Gonçalo,227,2,1,3,12,1,1,3682,3963,562,50,8257
Porto Velho,356,5,4,3,9,0,1,2435,4821,718,49,8023
Caxias do Sul,386,1,3,3,3,1,0,3639,7050,1611,185,12485
Cuiabá,258,4,4,4,1,1,1,1340,9319,751,145,11555
Ribeirão Preto,298,2,1,4,19,0,0,3676,8393,444,150,12663
São Gonçalo,235,1,4,2,12,0,0,341,2730,16,117,3204
Serra,332,3,3,0,18,0,0,2129,3543,1676,86,7434
Jaboatão dos Guararapes,497,1,1,0,8,0,1,3642,1674,1621,135,7072
São Luís,197,2,2,4,7,0,0,4168,9499,1277,60,15004
João Pessoa,177,1,2,3,14,0,1,3846,9453,973,123,14395
Natal,27,1,3,3,11,1,0,3880,6309,70,10,10269
Campinas,131,2,2,4,6,0,0,4126,1526,1561,77,7290
Recife,236,3,2,0,17,0,1,1331,1167,1883,60,4441
São José dos Campos,312,4,3,0,18,0,0,3409,1229,1949,141,6728
Piracicaba,204,4,3,2,18,0,1,4865,3194,1236,159,9454
Jaboatão dos Guararapes,175,2,2,0,9,0,1,4489,5123,234,69,9915
São Paulo,245,2,1,4,19,0,0,4293,9919,349,89,14650
Fortaleza,215,3,3,4,7,1,1,1094,5124,528,99,6845
Recife,61,5,2,0,10,0,0,729,8090,1868,39,10726
Manaus,406,5,1,4,11,1,0,3802,2995,667,113,7577
Mogi das Cruzes,239,2,4,1,18,1,1,4308,1360,165,149,5982
Duque de Caxias,153,5,1,3,16,0,1,4478,1949,1094,182,7703
Vitória,260,4,2,2,1,0,0,1868,8313,1893,32,12106
João Pessoa,259,3,3,4,16,1,0,4176,7394,1277,178,13025
João Pessoa,191,5,4,3,2,0,0,4571,3208,1105,196,9080
Rio de Janeiro,455,4,4,0,17,0,1,4710,3469,1182,160,9521
Campinas,468,4,1,4,14,1,1,2248,8656,1767,49,12720
Aparecida de Goiânia,312,1,1,4,1,0,0,1795,7102,1214,193,10304
Florianópolis,427,2,3,2,1,1,1,1406,5960,117,66,7549
Santo André,287,3,1,2,1,1,1,4278,7054,1399,81,12812
Brasília,219,3,1,1,18,1,0,3029,6450,546,51,10076
São Paulo,114,4,1,4,8,0,0,1378,9187,1993,190,12748
Campo Grande,360,5,3,1,7,0,0,3603,6832,372,170,10977
São Luís,391,2,4,0,8,0,1,1531,3956,1124,108,6719
Betim,48,4,3,1,9,1,1,2674,828,939,14,4455
Osasco,39,1,4,4,19,1,1,3432,6308,1592,122,11454
Guarulhos,447,2,4,1,12,0,0,345,9292,619,55,10311
São Gonçalo,129,5,3,3,7,1,1,848,5747,1458,182,8235
Macapá,138,3,2,0,10,1,1,567,1701,1865,130,4263
Betim,108,5,3,3,18,0,1,312,9583,145,63,10103
Manaus,387,4,3,3,2,1,1,2993,3875,1454,69,8391
Cuiabá,205,5,2,1,0,1,1,209,2672,1241,163,4285
Manaus,277,5,2,2,15,0,0,3382,794,432,123,4731
São Paulo,335,5,4,1,15,1,1,3431,3112,1057,70,7670
São Paulo,410,2,2,0,18,0,0,2217,5146,1920,18,9301
São José dos Campos,476,1,4,3,4,1,1,4382,6739,1852,118,13091
Santo André,278,5,1,2,15,1,1,4819,1755,1636,129,8339
Feira de Santana,345,1,4,0,19,0,0,1047,3228,260,31,4566
Goiânia,43,1,2,1,0,0,1,3591,2204,1492,135,7422
Cuiabá,474,4,3,4,5,0,0,4112,4962,1464,118,10656
São Gonçalo,46,4,1,2,5,0,0,4930,5355,212,31,10528
Curitiba,488,2,1,0,5,1,0,3503,4420,1890,36,9849
Vitória,467,3,3,3,17,1,0,4967,7631,899,48,13545
Recife,455,2,2,3,13,0,0,3814,2672,1803,28,8317
Feira de Santana,322,1,1,2,16,1,1,1030,1079,250,83,2442
Macapá,163,1,1,4,2,1,1,2517,3426,807,167,6917
Ribeirão Preto,268,3,2,4,0,0,1,2816,4756,1244,75,8891
Guarulhos,178,2,3,0,16,0,0,2728,6815,735,125,10403
Maringá,346,1,3,1,5,0,0,3816,5799,969,158,10742
Maceió,251,1,1,4,17,1,0,1338,5177,1774,41,8330
Betim,30,3,2,1,8,0,1,4071,4793,1282,163,10309
Porto Velho,165,5,2,3,3,0,0,833,6161,1566,97,8657
Belo Horizonte,97,5,1,4,17,1,1,744,1236,1375,166,3521
Ananindeua,63,5,3,2,6,0,1,3127,4843,1643,49,9662
João Pessoa,474,1,4,4,13,1,1,4744,4921,486,72,10223
Duque de Caxias,113,2,4,2,14,0,1,4565,7550,581,151,12847
Goiânia,381,2,2,4,16,1,1,2399,9508,459,189,12555
Manaus,489,3,4,3,18,1,1,4605,5297,483,35,10420
Aparecida de Goiânia,98,2,2,0,0,1,0,889,9790,604,19,11302
São José dos Campos,334,5,2,0,16,1,1,1028,8923,776,138,10865
Aracaju,354,4,2,0,15,1,1,2713,6433,1502,40,10688
Niterói,463,5,3,3,16,1,0,846,3339,828,183,5196
Fortaleza,270,5,4,0,7,0,0,3982,3764,1984,150,9880
Londrina,51,1,1,2,13,1,0,457,6535,887,133,8012
Macapá,229,2,2,0,6,0,0,1607,825,1257,182,3871
Ananindeua,423,1,3,2,16,0,0,2861,2561,1321,90,6833
Belo Horizonte,465,5,4,2,7,0,0,974,6805,156,89,8024
Sorocaba,126,3,4,1,1,1,0,1918,5263,165,112,7458
Caxias do Sul,219,1,1,1,13,0,1,235,5678,1529,21,7463
Boa Vista,467,1,1,0,10,1,0,1649,8202,1506,153,11510
Macapá,464,4,4,2,2,0,0,3875,8653,1968,52,14548
São José dos Campos,266,4,1,4,5,1,1,840,2295,1467,96,4698
Santo André,479,3,4,2,16,0,0,3141,7911,490,130,11672
São Luís,316,1,2,3,11,1,1,4592,9849,1587,126,16154
Santo André,304,4,2,4,4,0,0,890,3394,1122,70,5476
Feira de Santana,322,5,1,2,8,0,0,3080,6760,767,143,10750
Boa Vista,323,4,4,1,3,0,1,2685,3986,289,178,7138
Teresina,131,2,1,3,6,1,0,1899,2211,628,129,4867
João Pessoa,22,4,2,0,17,1,1,4018,9740,1396,49,15203
Sorocaba,91,4,3,0,13,0,0,3425,6940,1075,190,11630
Rio de Janeiro,391,2,3,4,14,1,1,4100,6715,1239,123,12177
Vila Velha,360,1,4,0,13,0,1,251,8482,1186,81,10000
Joinville,273,2,4,4,6,0,1,3930,2919,1746,59,8654
São Luís,152,1,3,1,6,0,0,1893,2397,182,92,4564
Manaus,311,1,4,1,19,0,1,1636,8641,1739,198,12214
Duque de Caxias,151,3,2,0,4,0,1,4137,4290,149,17,8593
São Gonçalo,355,3,3,0,14,0,1,3331,2902,254,135,6622
Teresina,289,2,2,1,3,1,1,4668,1747,814,37,7266
Recife,445,4,1,3,14,0,1,318,8957,1870,102,11247
Porto Velho,421,3,4,4,15,0,1,218,2881,1051,127,4277
Cuiabá,297,1,4,4,9,1,0,4881,9957,714,44,15596
Rio de Janeiro,364,3,1,4,16,0,0,1481,6135,918,186,8720
Rio de Janeiro,487,3,4,3,17,1,0,80,6788,723,104,7695
Barueri,348,5,4,0,10,0,1,2427,3647,344,46,6464
Rio de Janeiro,479,2,4,2,9,1,0,4257,4486,972,10,9725
Teresina,50,1,2,0,13,0,0,4530,5647,169,84,10430
Aparecida de Goiânia,118,3,4,1,12,0,1,2354,3217,1796,35,7402
Piracicaba,51,3,4,0,4,0,0,2979,4215,1649,37,8880
Salvador,441,4,1,0,10,0,1,1847,5382,1487,170,8886
Florianópolis,277,1,1,3,9,0,1,1320,7040,1989,27,10376
Mogi das Cruzes,329,2,4,2,16,0,1,1052,1731,462,57,3302
Betim,50,3,2,4,15,0,0,3223,6036,1522,62,10843
Guarulhos,104,3,3,1,6,1,1,3830,4197,647,104,8778
Sorocaba,478,4,1,2,5,0,1,1153,927,1247,121,3448
São Gonçalo,38,4,2,1,13,1,1,1874,3834,1937,156,7801
Recife,291,3,3,4,3,1,1,3718,9202,1359,197,14476
São Paulo,399,4,3,4,16,1,0,2309,2096,1560,38,6003
Sorocaba,408,1,1,4,18,0,1,3114,7677,1246,54,12091
Porto Velho,298,2,4,0,13,1,0,1485,3666,1443,28,6622
Aparecida de Goiânia,214,4,2,2,0,0,1,4600,8243,898,175,13916
Betim,237,3,1,3,9,1,1,885,7483,1267,11,9646
Mogi das Cruzes,461,2,3,4,9,0,1,938,7426,1401,13,9778
Porto Alegre,91,4,3,3,18,0,0,871,5879,803,63,7616
Joinville,250,5,4,4,16,1,1,4623,5838,1256,25,11742
Contagem,354,4,2,2,12,0,0,369,5124,259,99,5851
Salvador,325,2,3,4,8,1,0,3569,4588,341,98,8596
Florianópolis,121,3,2,2,18,0,0,1225,2928,223,179,4555
Boa Vista,495,2,3,0,3,0,0,656,7107,1273,39,9075
São Paulo,122,4,4,2,19,0,0,4987,8697,1634,33,15351
Porto Velho,469,4,3,1,12,1,1,4850,3451,1590,136,10027
Manaus,353,3,4,0,11,1,1,2122,9082,1060,163,12427
Londrina,24,2,2,0,16,1,0,158,4548,641,18,5365
Rio de Janeiro,459,2,3,1,17,1,0,4663,8195,371,33,13262
Londrina,302,3,2,0,14,0,1,4725,912,1919,41,7597
Jaboatão dos Guararapes,375,1,4,4,7,1,1,4523,8148,1963,148,14782
João Pessoa,149,1,2,4,16,1,1,3826,8790,725,164,13505
Betim,45,1,1,4,8,0,0,1714,3205,1771,83,6773
Betim,281,3,2,0,13,1,1,4811,8522,1333,82,14748
Maceió,399,3,2,2,11,1,0,792,2569,171,150,3682
Piracicaba,464,4,2,0,2,0,0,1041,4850,14,167,6072
Recife,335,3,3,1,9,0,1,2775,7458,1354,147,11734
Serra,309,5,4,3,12,0,1,4559,2963,367,76,7965
Aparecida de Goiânia,68,5,3,4,14,0,1,164,7554,1414,106,9238
Londrina,238,4,1,4,9,0,1,1256,5021,829,81,7187
Maceió,89,5,2,3,11,1,0,3097,2521,500,26,6144
Maringá,90,5,2,2,18,1,1,1573,8652,1042,182,11449
São Gonçalo,36,3,4,2,5,0,0,917,9896,1555,113,12481
Barueri,352,5,1,1,8,1,1,1849,6786,307,34,8976
Salvador,135,5,3,2,16,0,1,3295,3147,693,180,7315
São Luís,154,2,2,2,13,0,1,992,3088,1998,185,6263
Uberlândia,190,4,3,4,17,0,1,1623,3970,713,167,6473
Salvador,54,5,2,2,16,1,0,4861,5095,1131,53,11140
Caxias do Sul,157,2,1,0,0,1,1,3084,5262,1928,142,10416
Caxias do Sul,155,2,3,1,4,1,0,2506,9776,1848,12,14142
Jaboatão dos Guararapes,303,2,4,3,19,1,0,3017,7574,995,194,11780
Boa Vista,49,5,1,2,11,0,1,1704,1293,1138,35,4170
Maceió,81,2,4,2,13,1,1,224,9219,118,173,9734
Rio de Janeiro,476,4,2,1,13,0,0,445,4198,966,50,5659
Caxias do Sul,127,4,1,4,9,0,0,1917,7587,451,170,10125
Goiânia,275,4,2,0,15,0,0,4296,5654,188,163,10301
São Gonçalo,53,1,1,0,18,0,1,4053,1612,237,116,6018
Belo Horizonte,477,3,3,0,14,0,0,3853,5136,1460,154,10603
Curitiba,345,2,3,3,0,0,1,3384,4449,310,137,8280
Teresina,268,3,1,3,5,1,1,580,8096,1516,65,10257
Aracaju,336,5,2,1,4,1,0,4605,8684,968,128,14385
Duque de Caxias,357,5,3,1,5,0,0,3403,918,125,33,4479
Montes Claros,469,2,3,4,7,0,1,1196,6058,44,107,7405
Porto Alegre,150,5,1,0,11,0,1,378,3059,453,130,4020
Mogi das Cruzes,224,5,4,4,12,0,0,1806,9925,309,143,12183
Recife,304,2,4,2,16,0,0,3871,9038,1028,170,14107
Aracaju,349,1,2,3,3,1,1,1995,4403,1116,141,7655
São Gonçalo,124,2,3,4,18,0,0,4737,543,510,170,5960
Caxias do Sul,257,5,3,4,1,0,1,4558,5512,1575,131,11776
Rio de Janeiro,456,1,1,2,13,0,1,2592,4368,514,66,7540
Macapá,386,5,3,0,7,1,1,2606,3550,1662,102,7920
São José dos Campos,306,2,2,2,10,0,1,3367,6410,1319,99,11195
Porto Alegre,31,2,2,1,14,0,1,1810,719,136,70,2735
Mogi das Cruzes,473,5,1,2,1,1,1,2727,2759,671,17,6174
Curitiba,267,2,2,1,16,0,1,2935,5188,1080,12,9215
Vitória,282,5,2,1,19,0,1,1346,3401,1791,29,6567
Santo André,329,3,2,4,13,0,0,2415,8017,1565,40,12037
Macapá,341,3,2,4,13,1,0,4517,8584,1089,17,14207
Montes Claros,157,1,1,4,10,1,1,3947,5799,333,77,10156
Boa Vista,132,1,3,3,0,0,0,286,4864,1318,72,6540
Feira de Santana,53,4,4,2,8,0,0,3898,7976,1816,190,13880
Santo André,212,1,1,3,2,1,1,4469,7521,234,79,12303
Maceió,303,1,2,4,5,0,0,3720,2844,229,115,6908
Fortaleza,67,1,2,1,15,0,1,1591,7008,1157,131,9887
Teresina,276,2,2,3,6,1,1,3120,575,64,85,3844
Fortaleza,315,5,1,1,5,1,0,2728,4287,1428,38,8481
Florianópolis,76,3,3,1,1,1,1,2367,6082,344,18,8811
Brasília,326,2,1,2,9,0,0,3978,2765,1868,77,8688
Natal,413,3,3,3,12,0,0,4020,4656,590,95,9361
Goiânia,248,5,3,4,8,0,0,4014,570,897,34,5515
Caxias do Sul,342,3,3,4,0,0,0,3349,5714,1586,29,10678
Brasília,29,1,2,4,8,1,1,1384,7996,584,125,10089
Serra,455,3,2,0,18,0,0,3085,7096,479,10,10670
Niterói,390,5,2,0,12,0,1,2904,8044,224,156,11328
Porto Alegre,311,2,2,2,10,0,1,2825,7884,1463,120,12292
São Gonçalo,169,2,3,0,2,1,1,3606,6054,1671,132,11463
Serra,170,3,3,0,18,0,0,4766,1766,794,86,7412
São Gonçalo,325,5,2,1,1,0,0,3514,6424,1861,70,11869
Vila Velha,400,4,4,4,13,1,1,3045,7797,571,17,11430
Piracicaba,35,3,4,4,3,1,0,4105,1809,1091,117,7122
Maceió,210,4,3,1,9,0,1,1419,4579,482,22,6502
Campinas,480,1,2,3,10,1,0,3158,5725,812,149,9844
Aracaju,448,3,3,0,8,1,1,4704,5245,1197,84,11230
Barueri,106,1,3,1,6,0,1,3460,2110,108,141,5819
Vitória,363,3,3,4,4,0,0,4267,1523,170,182,6142
Feira de Santana,295,3,3,3,17,1,0,2691,8958,1539,49,13237
Montes Claros,268,5,1,1,10,0,1,4849,5712,10,59,10630
Aparecida de Goiânia,73,5,4,0,9,0,1,3011,2205,90,121,5427
Goiânia,181,5,1,1,16,0,1,156,8987,383,77,9603
Londrina,153,3,2,2,17,0,0,4032,6194,599,175,11000
Fortaleza,417,3,4,2,12,0,1,1329,3835,480,13,5657
Cuiabá,63,2,4,0,19,1,1,425,690,364,135,1614
São Gonçalo,88,4,4,0,0,0,1,3400,9824,1796,105,15125
Barueri,193,1,1,2,0,0,0,1294,8985,1464,108,11851
São José dos Campos,417,4,1,0,5,1,1,3213,1022,3,184,4422
Aparecida de Goiânia,45,5,4,3,14,0,1,2148,8188,1574,71,11981
Uberlândia,216,1,1,2,2,0,1,2437,5414,299,59,8209
Niterói,334,5,4,1,1,1,1,721,2621,1610,15,4967
Santo André,280,2,1,3,16,1,0,4234,4045,1541,28,9848
Betim,357,4,1,2,17,1,0,3577,9837,1733,127,15274
Belo Horizonte,320,4,1,1,16,1,1,2566,8976,1133,170,12845
Caxias do Sul,366,1,2,4,17,0,1,966,8211,1004,99,10280
Maceió,178,4,3,1,2,0,1,85,1844,761,193,2883
Joinville,453,3,1,3,15,1,1,641,1792,1522,110,4065
